"speaker","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"child","and",14,"declarative",1,5553,0.000180082838105529,0.180082838105529
"child","and",15,"declarative",3,8180,0.000366748166259169,0.366748166259169
"child","and",16,"declarative",5,11466,0.000436071864643293,0.436071864643293
"child","and",17,"declarative",11,13579,0.000810074379556668,0.810074379556668
"child","and",17,"other",3,944,0.00317796610169492,3.17796610169492
"child","and",17,"question",4,865,0.0046242774566474,4.6242774566474
"child","and",18,"declarative",54,22103,0.00244310727050627,2.44310727050627
"child","and",18,"question",1,1433,0.000697836706210747,0.697836706210747
"child","and",19,"declarative",37,26668,0.00138743062846858,1.38743062846858
"child","and",19,"imperative",1,712,0.00140449438202247,1.40449438202247
"child","and",19,"other",4,730,0.00547945205479452,5.47945205479452
"child","and",19,"question",1,2164,0.000462107208872458,0.462107208872458
"child","and",20,"declarative",111,29533,0.0037585074323638,3.7585074323638
"child","and",20,"imperative",4,1441,0.00277585010409438,2.77585010409438
"child","and",20,"other",15,258,0.0581395348837209,58.1395348837209
"child","and",20,"question",3,4248,0.000706214689265537,0.706214689265537
"child","and",21,"declarative",311,40620,0.00765632693254554,7.65632693254554
"child","and",21,"imperative",6,891,0.00673400673400673,6.73400673400673
"child","and",21,"other",24,1063,0.0225776105362183,22.5776105362183
"child","and",21,"question",17,5344,0.0031811377245509,3.1811377245509
"child","and",22,"declarative",293,41565,0.00704920004811741,7.04920004811741
"child","and",22,"imperative",6,547,0.0109689213893967,10.9689213893967
"child","and",22,"other",24,1067,0.0224929709465792,22.4929709465792
"child","and",22,"question",10,6507,0.00153680651605963,1.53680651605963
"child","and",23,"declarative",679,66580,0.0101982577350556,10.1982577350556
"child","and",23,"imperative",10,1280,0.0078125,7.8125
"child","and",23,"other",19,982,0.0193482688391039,19.3482688391039
"child","and",23,"question",16,8829,0.0018122097632801,1.8122097632801
"child","and",24,"declarative",999,153899,0.00649127024866958,6.49127024866958
"child","and",24,"imperative",11,3927,0.00280112044817927,2.80112044817927
"child","and",24,"other",76,3210,0.0236760124610592,23.6760124610592
"child","and",24,"question",62,23308,0.00266003089068131,2.66003089068131
"child","and",25,"declarative",979,125936,0.00777378986151696,7.77378986151696
"child","and",25,"imperative",12,2504,0.00479233226837061,4.79233226837061
"child","and",25,"other",57,2708,0.0210487444608567,21.0487444608567
"child","and",25,"question",56,15047,0.00372167209410514,3.72167209410514
"child","and",26,"declarative",1368,131345,0.0104153184361795,10.4153184361795
"child","and",26,"imperative",15,2852,0.00525946704067321,5.25946704067321
"child","and",26,"other",65,2675,0.0242990654205607,24.2990654205607
"child","and",26,"question",117,15312,0.007641065830721,7.641065830721
"child","and",27,"declarative",1897,141580,0.0133987851391439,13.3987851391439
"child","and",27,"imperative",49,2846,0.0172171468728039,17.2171468728039
"child","and",27,"other",120,2902,0.0413507925568573,41.3507925568573
"child","and",27,"question",178,16578,0.0107371214863072,10.7371214863072
"child","and",28,"declarative",2005,149654,0.0133975703957128,13.3975703957128
"child","and",28,"imperative",43,3452,0.0124565469293163,12.4565469293163
"child","and",28,"other",193,4023,0.0479741486452896,47.9741486452896
"child","and",28,"question",493,20431,0.0241299985316431,24.1299985316431
"child","and",29,"declarative",2798,181631,0.0154048593026521,15.4048593026521
"child","and",29,"imperative",57,4341,0.0131306150656531,13.1306150656531
"child","and",29,"other",309,6864,0.0450174825174825,45.0174825174825
"child","and",29,"question",340,25211,0.0134861766689144,13.4861766689144
"child","and",30,"declarative",2501,175255,0.0142706342187099,14.2706342187099
"child","and",30,"imperative",59,5331,0.0110673419621084,11.0673419621084
"child","and",30,"other",236,6489,0.0363692402527354,36.3692402527354
"child","and",30,"question",232,27321,0.00849163647011456,8.49163647011456
"child","and",31,"declarative",3486,178563,0.0195225214630131,19.5225214630131
"child","and",31,"imperative",74,3900,0.018974358974359,18.974358974359
"child","and",31,"other",324,6026,0.0537670096249585,53.7670096249585
"child","and",31,"question",318,31088,0.0102290272774061,10.2290272774061
"child","and",32,"declarative",2928,158618,0.0184594434427366,18.4594434427366
"child","and",32,"imperative",43,3384,0.0127068557919622,12.7068557919622
"child","and",32,"other",194,4464,0.0434587813620072,43.4587813620072
"child","and",32,"question",315,29951,0.0105171780574939,10.5171780574939
"child","and",33,"declarative",2504,164090,0.0152599183374977,15.2599183374977
"child","and",33,"imperative",65,3350,0.0194029850746269,19.4029850746269
"child","and",33,"other",216,5732,0.0376831821353803,37.6831821353803
"child","and",33,"question",298,31775,0.00937844217151849,9.37844217151849
"child","and",34,"declarative",2707,161716,0.0167392218457048,16.7392218457048
"child","and",34,"imperative",49,3818,0.0128339444735464,12.8339444735464
"child","and",34,"other",220,7279,0.0302239318587718,30.2239318587718
"child","and",34,"question",298,32496,0.00917035942885278,9.17035942885278
"child","and",35,"declarative",2510,132415,0.0189555563946683,18.9555563946683
"child","and",35,"imperative",49,2475,0.0197979797979798,19.7979797979798
"child","and",35,"other",228,5596,0.0407433881343817,40.7433881343817
"child","and",35,"question",203,25307,0.00802149602876674,8.02149602876674
"child","and",36,"declarative",4786,244646,0.0195629603590494,19.5629603590494
"child","and",36,"imperative",99,5223,0.0189546237794371,18.9546237794371
"child","and",36,"other",495,13302,0.037212449255751,37.212449255751
"child","and",36,"question",550,59376,0.00926300188628402,9.26300188628402
"child","and",37,"declarative",2039,104864,0.0194442325297528,19.4442325297528
"child","and",37,"imperative",56,1974,0.0283687943262411,28.3687943262411
"child","and",37,"other",188,4186,0.0449116101290014,44.9116101290014
"child","and",37,"question",169,20094,0.00841047078729969,8.41047078729969
"child","and",38,"declarative",1618,77303,0.0209306236497937,20.9306236497937
"child","and",38,"imperative",44,1498,0.0293724966622163,29.3724966622163
"child","and",38,"other",153,3342,0.0457809694793537,45.7809694793537
"child","and",38,"question",157,17023,0.00922281618986078,9.22281618986078
"child","and",39,"declarative",1620,77842,0.0208113871688806,20.8113871688806
"child","and",39,"imperative",12,1131,0.0106100795755968,10.6100795755968
"child","and",39,"other",171,3917,0.0436558590758233,43.6558590758233
"child","and",39,"question",109,15929,0.00684286521438885,6.84286521438885
"child","and",40,"declarative",1371,57056,0.0240290241166573,24.0290241166573
"child","and",40,"imperative",28,1038,0.0269749518304432,26.9749518304432
"child","and",40,"other",171,2397,0.0713391739674593,71.3391739674593
"child","and",40,"question",161,13867,0.0116102978293791,11.6102978293791
"child","and",41,"declarative",1143,49226,0.023219436882948,23.219436882948
"child","and",41,"imperative",20,835,0.0239520958083832,23.9520958083832
"child","and",41,"other",77,3790,0.0203166226912929,20.3166226912929
"child","and",41,"question",97,10688,0.00907559880239521,9.07559880239521
"child","and",42,"declarative",1078,49088,0.0219605606258149,21.9605606258149
"child","and",42,"imperative",16,975,0.0164102564102564,16.4102564102564
"child","and",42,"other",91,2034,0.0447394296951819,44.7394296951819
"child","and",42,"question",124,9694,0.01279141737157,12.79141737157
"child","and",43,"declarative",981,42246,0.0232211333617384,23.2211333617384
"child","and",43,"imperative",32,1229,0.0260374288039056,26.0374288039056
"child","and",43,"other",100,3004,0.033288948069241,33.288948069241
"child","and",43,"question",121,8848,0.0136754068716094,13.6754068716094
"child","and",44,"declarative",1120,46551,0.0240596335202251,24.0596335202251
"child","and",44,"imperative",54,1776,0.0304054054054054,30.4054054054054
"child","and",44,"other",110,2035,0.0540540540540541,54.0540540540541
"child","and",44,"question",145,10873,0.0133357858916582,13.3357858916582
"child","and",45,"declarative",976,46274,0.0210917577905519,21.0917577905519
"child","and",45,"imperative",42,2662,0.0157776108189331,15.7776108189331
"child","and",45,"other",75,1560,0.0480769230769231,48.0769230769231
"child","and",45,"question",110,9963,0.0110408511492522,11.0408511492522
"child","and",46,"declarative",1002,43985,0.0227804933500057,22.7804933500057
"child","and",46,"imperative",50,2209,0.0226346763241286,22.6346763241286
"child","and",46,"other",97,2339,0.0414707139803335,41.4707139803335
"child","and",46,"question",82,7872,0.0104166666666667,10.4166666666667
"child","and",47,"declarative",718,34317,0.020922574817146,20.922574817146
"child","and",47,"imperative",16,938,0.0170575692963753,17.0575692963753
"child","and",47,"other",63,1264,0.0498417721518987,49.8417721518987
"child","and",47,"question",61,7683,0.0079396069243785,7.9396069243785
"child","and",48,"declarative",1266,45724,0.0276878663284052,27.6878663284052
"child","and",48,"imperative",40,2034,0.0196656833824975,19.6656833824975
"child","and",48,"other",155,2396,0.0646911519198664,64.6911519198664
"child","and",48,"question",92,8643,0.0106444521578156,10.6444521578156
"child","and",49,"declarative",709,33515,0.0211547068476801,21.1547068476801
"child","and",49,"imperative",19,692,0.0274566473988439,27.4566473988439
"child","and",49,"other",52,1280,0.040625,40.625
"child","and",49,"question",72,7110,0.010126582278481,10.126582278481
"child","and",50,"declarative",935,37977,0.0246201648366116,24.6201648366116
"child","and",50,"imperative",29,1358,0.0213549337260677,21.3549337260677
"child","and",50,"other",106,2081,0.0509370494954349,50.9370494954349
"child","and",50,"question",101,7933,0.0127316273793017,12.7316273793017
"child","and",51,"declarative",686,33130,0.0207063084817386,20.7063084817386
"child","and",51,"imperative",25,1340,0.0186567164179104,18.6567164179104
"child","and",51,"other",53,1433,0.0369853454291696,36.9853454291696
"child","and",51,"question",81,6560,0.0123475609756098,12.3475609756098
"child","and",52,"declarative",897,37450,0.0239519359145527,23.9519359145527
"child","and",52,"imperative",23,904,0.0254424778761062,25.4424778761062
"child","and",52,"other",92,1458,0.0631001371742112,63.1001371742112
"child","and",52,"question",85,7241,0.0117387101229112,11.7387101229112
"child","and",53,"declarative",482,24572,0.0196158228878398,19.6158228878398
"child","and",53,"imperative",12,836,0.0143540669856459,14.3540669856459
"child","and",53,"other",36,1229,0.0292921074043938,29.2921074043938
"child","and",53,"question",41,5019,0.00816895795975294,8.16895795975294
"child","and",54,"declarative",550,30409,0.0180867506330363,18.0867506330363
"child","and",54,"imperative",34,2414,0.0140845070422535,14.0845070422535
"child","and",54,"other",57,1832,0.0311135371179039,31.1135371179039
"child","and",54,"question",93,8870,0.0104847801578354,10.4847801578354
"child","and",55,"declarative",579,27509,0.0210476571303937,21.0476571303937
"child","and",55,"imperative",9,1054,0.00853889943074004,8.53889943074004
"child","and",55,"other",54,1424,0.0379213483146067,37.9213483146067
"child","and",55,"question",78,6871,0.0113520593800029,11.3520593800029
"child","and",56,"declarative",762,27122,0.0280952732099403,28.0952732099403
"child","and",56,"imperative",13,977,0.0133060388945752,13.3060388945752
"child","and",56,"other",49,930,0.0526881720430108,52.6881720430108
"child","and",56,"question",46,5051,0.00910710750346466,9.10710750346466
"child","and",57,"declarative",4075,235919,0.0172728775554322,17.2728775554322
"child","and",57,"imperative",262,20867,0.0125557099726841,12.5557099726841
"child","and",57,"other",819,21592,0.0379307150796591,37.9307150796591
"child","and",57,"question",603,63073,0.00956035070473895,9.56035070473895
"child","and",58,"declarative",636,30409,0.0209148607320201,20.9148607320201
"child","and",58,"imperative",7,716,0.00977653631284916,9.77653631284916
"child","and",58,"other",76,1470,0.0517006802721088,51.7006802721088
"child","and",58,"question",68,5723,0.0118818801327975,11.8818801327975
"child","and",59,"declarative",692,29214,0.023687273225166,23.687273225166
"child","and",59,"imperative",28,1301,0.02152190622598,21.52190622598
"child","and",59,"other",119,1790,0.0664804469273743,66.4804469273743
"child","and",59,"question",74,6507,0.0113723682188412,11.3723682188412
"child","and",60,"declarative",735,23619,0.0311190143528515,31.1190143528515
"child","and",60,"imperative",3,436,0.00688073394495413,6.88073394495413
"child","and",60,"other",97,1341,0.0723340790454884,72.3340790454884
"child","and",60,"question",39,4292,0.00908667287977633,9.08667287977633
"child","and",61,"declarative",557,15533,0.0358591386081246,35.8591386081246
"child","and",61,"imperative",6,443,0.0135440180586907,13.5440180586907
"child","and",61,"other",34,632,0.0537974683544304,53.7974683544304
"child","and",61,"question",21,2169,0.00968188105117566,9.68188105117566
"child","and",62,"declarative",449,15107,0.0297213212418084,29.7213212418084
"child","and",62,"imperative",5,489,0.0102249488752556,10.2249488752556
"child","and",62,"other",30,772,0.038860103626943,38.860103626943
"child","and",62,"question",42,3414,0.0123022847100176,12.3022847100176
"child","and",63,"declarative",363,11856,0.0306174089068826,30.6174089068826
"child","and",63,"imperative",12,883,0.0135900339750849,13.5900339750849
"child","and",63,"other",36,591,0.0609137055837563,60.9137055837563
"child","and",63,"question",27,1997,0.0135202804206309,13.5202804206309
"child","and",64,"declarative",158,6891,0.0229284574082136,22.9284574082136
"child","and",64,"imperative",11,626,0.0175718849840256,17.5718849840256
"child","and",64,"other",11,392,0.0280612244897959,28.0612244897959
"child","and",64,"question",9,1093,0.00823421774931381,8.23421774931381
"child","and",65,"declarative",186,6225,0.0298795180722892,29.8795180722892
"child","and",65,"imperative",15,780,0.0192307692307692,19.2307692307692
"child","and",65,"other",24,377,0.0636604774535809,63.6604774535809
"child","and",65,"question",14,1222,0.0114566284779051,11.4566284779051
"child","and",66,"declarative",308,9623,0.0320066507326198,32.0066507326198
"child","and",66,"imperative",10,975,0.0102564102564103,10.2564102564103
"child","and",66,"other",25,655,0.0381679389312977,38.1679389312977
"child","and",66,"question",21,1937,0.0108415074858028,10.8415074858028
"child","and",67,"declarative",397,12271,0.032352701491321,32.352701491321
"child","and",67,"imperative",18,1474,0.0122116689280868,12.2116689280868
"child","and",67,"other",37,639,0.0579029733959311,57.9029733959311
"child","and",67,"question",15,2192,0.00684306569343066,6.84306569343066
"child","and",68,"declarative",647,11729,0.0551624179384432,55.1624179384432
"child","and",68,"imperative",21,989,0.0212335692618807,21.2335692618807
"child","and",68,"other",55,647,0.0850077279752705,85.0077279752705
"child","and",68,"question",31,1454,0.0213204951856946,21.3204951856946
"child","and",69,"declarative",525,13527,0.0388112663561765,38.8112663561765
"child","and",69,"imperative",23,1227,0.0187449062754686,18.7449062754686
"child","and",69,"other",34,544,0.0625,62.5
"child","and",69,"question",19,2145,0.00885780885780886,8.85780885780886
"child","and",70,"declarative",290,8613,0.0336700336700337,33.6700336700337
"child","and",70,"imperative",16,749,0.0213618157543391,21.3618157543391
"child","and",70,"other",55,574,0.0958188153310105,95.8188153310105
"child","and",70,"question",9,1135,0.0079295154185022,7.9295154185022
"child","and",71,"declarative",471,7873,0.0598247173885431,59.8247173885431
"child","and",71,"imperative",5,459,0.0108932461873638,10.8932461873638
"child","and",71,"other",19,337,0.056379821958457,56.379821958457
"child","and",71,"question",9,886,0.0101580135440181,10.1580135440181
"child","or",13,"other",1,105,0.00952380952380952,9.52380952380953
"child","or",17,"other",1,944,0.00105932203389831,1.05932203389831
"child","or",19,"declarative",1,26668,3.74981250937453e-05,0.0374981250937453
"child","or",20,"declarative",2,29533,6.77208546371855e-05,0.0677208546371855
"child","or",21,"declarative",5,40620,0.000123092072870507,0.123092072870507
"child","or",21,"other",1,1063,0.000940733772342427,0.940733772342427
"child","or",23,"declarative",5,66580,7.50976269149895e-05,0.0750976269149895
"child","or",23,"other",1,982,0.0010183299389002,1.0183299389002
"child","or",24,"declarative",29,153899,0.000188435272483902,0.188435272483902
"child","or",24,"question",3,23308,0.000128711172129741,0.128711172129741
"child","or",25,"declarative",10,125936,7.94054122729005e-05,0.0794054122729005
"child","or",25,"question",2,15047,0.000132916860503755,0.132916860503755
"child","or",26,"declarative",30,131345,0.000228406106056569,0.228406106056569
"child","or",26,"imperative",1,2852,0.000350631136044881,0.350631136044881
"child","or",26,"other",2,2675,0.000747663551401869,0.747663551401869
"child","or",26,"question",2,15312,0.000130616509926855,0.130616509926855
"child","or",27,"declarative",12,141580,8.47577341432406e-05,0.0847577341432406
"child","or",27,"other",1,2902,0.000344589937973811,0.344589937973811
"child","or",27,"question",2,16578,0.000120641814452889,0.120641814452889
"child","or",28,"declarative",21,149654,0.000140323679955096,0.140323679955096
"child","or",28,"question",6,20431,0.000293671381723851,0.293671381723851
"child","or",29,"declarative",27,181631,0.000148653038302933,0.148653038302933
"child","or",29,"imperative",1,4341,0.000230361667818475,0.230361667818475
"child","or",29,"question",6,25211,0.000237991352980842,0.237991352980842
"child","or",30,"declarative",15,175255,8.55895694844655e-05,0.0855895694844655
"child","or",30,"imperative",2,5331,0.00037516413430876,0.37516413430876
"child","or",30,"other",3,6489,0.000462320850670365,0.462320850670365
"child","or",30,"question",6,27321,0.000219611288020204,0.219611288020204
"child","or",31,"declarative",67,178563,0.000375217710275925,0.375217710275925
"child","or",31,"other",4,6026,0.000663790242283438,0.663790242283438
"child","or",31,"question",26,31088,0.000836335563561503,0.836335563561503
"child","or",32,"declarative",102,158618,0.000643054382226481,0.643054382226481
"child","or",32,"other",1,4464,0.000224014336917563,0.224014336917563
"child","or",32,"question",36,29951,0.00120196320657073,1.20196320657073
"child","or",33,"declarative",41,164090,0.00024986288012676,0.24986288012676
"child","or",33,"imperative",2,3350,0.000597014925373134,0.597014925373134
"child","or",33,"other",4,5732,0.000697836706210747,0.697836706210747
"child","or",33,"question",26,31775,0.000818253343823761,0.818253343823761
"child","or",34,"declarative",49,161716,0.000303000321551362,0.303000321551362
"child","or",34,"other",9,7279,0.00123643357604066,1.23643357604066
"child","or",34,"question",49,32496,0.00150787789266371,1.50787789266371
"child","or",35,"declarative",83,132415,0.000626817203489031,0.626817203489031
"child","or",35,"imperative",2,2475,0.000808080808080808,0.808080808080808
"child","or",35,"other",4,5596,0.000714796283059328,0.714796283059328
"child","or",35,"question",17,25307,0.000671750898960762,0.671750898960762
"child","or",36,"declarative",157,244646,0.000641743580520425,0.641743580520425
"child","or",36,"other",25,13302,0.00187941662907833,1.87941662907833
"child","or",36,"question",75,59376,0.00126313662085691,1.26313662085691
"child","or",37,"declarative",47,104864,0.000448199572779982,0.448199572779982
"child","or",37,"imperative",1,1974,0.000506585612968592,0.506585612968592
"child","or",37,"other",2,4186,0.000477783086478739,0.477783086478739
"child","or",37,"question",24,20094,0.00119438638399522,1.19438638399522
"child","or",38,"declarative",46,77303,0.00059506099375186,0.59506099375186
"child","or",38,"other",4,3342,0.00119688809096349,1.19688809096349
"child","or",38,"question",13,17023,0.000763672678141338,0.763672678141338
"child","or",39,"declarative",30,77842,0.000385396058682973,0.385396058682973
"child","or",39,"other",3,3917,0.000765892264488129,0.765892264488129
"child","or",39,"question",18,15929,0.00113001443907339,1.13001443907339
"child","or",40,"declarative",33,57056,0.000578379136287156,0.578379136287156
"child","or",40,"other",2,2397,0.000834376303712975,0.834376303712975
"child","or",40,"question",12,13867,0.000865363813369871,0.865363813369871
"child","or",41,"declarative",43,49226,0.000873522122455613,0.873522122455613
"child","or",41,"imperative",1,835,0.00119760479041916,1.19760479041916
"child","or",41,"other",4,3790,0.00105540897097625,1.05540897097625
"child","or",41,"question",7,10688,0.000654940119760479,0.654940119760479
"child","or",42,"declarative",45,49088,0.000916720990873533,0.916720990873533
"child","or",42,"other",2,2034,0.000983284169124877,0.983284169124877
"child","or",42,"question",7,9694,0.00072209614194347,0.72209614194347
"child","or",43,"declarative",28,42246,0.000662784642333002,0.662784642333002
"child","or",43,"imperative",1,1229,0.00081366965012205,0.81366965012205
"child","or",43,"other",2,3004,0.00066577896138482,0.66577896138482
"child","or",43,"question",16,8848,0.00180831826401447,1.80831826401447
"child","or",44,"declarative",30,46551,0.000644454469291744,0.644454469291745
"child","or",44,"other",1,2035,0.000491400491400491,0.491400491400491
"child","or",44,"question",16,10873,0.0014715349949416,1.4715349949416
"child","or",45,"declarative",13,46274,0.000280935298439729,0.280935298439729
"child","or",45,"other",2,1560,0.00128205128205128,1.28205128205128
"child","or",45,"question",5,9963,0.000501856870420556,0.501856870420556
"child","or",46,"declarative",33,43985,0.000750255769012163,0.750255769012163
"child","or",46,"imperative",1,2209,0.000452693526482571,0.452693526482571
"child","or",46,"other",3,2339,0.00128259940145361,1.28259940145361
"child","or",46,"question",8,7872,0.00101626016260163,1.01626016260163
"child","or",47,"declarative",35,34317,0.001019902672145,1.019902672145
"child","or",47,"imperative",1,938,0.00106609808102345,1.06609808102345
"child","or",47,"other",1,1264,0.000791139240506329,0.791139240506329
"child","or",47,"question",11,7683,0.0014317323961994,1.4317323961994
"child","or",48,"declarative",33,45724,0.000721721634152743,0.721721634152742
"child","or",48,"imperative",1,2034,0.000491642084562439,0.491642084562439
"child","or",48,"other",2,2396,0.000834724540901503,0.834724540901502
"child","or",48,"question",7,8643,0.000809903968529446,0.809903968529446
"child","or",49,"declarative",37,33515,0.0011039832910637,1.1039832910637
"child","or",49,"imperative",1,692,0.00144508670520231,1.44508670520231
"child","or",49,"question",12,7110,0.00168776371308017,1.68776371308017
"child","or",50,"declarative",40,37977,0.00105326908391921,1.05326908391921
"child","or",50,"other",3,2081,0.00144161460836136,1.44161460836136
"child","or",50,"question",7,7933,0.000882390016387243,0.882390016387243
"child","or",51,"declarative",56,33130,0.00169031089646846,1.69031089646846
"child","or",51,"imperative",1,1340,0.000746268656716418,0.746268656716418
"child","or",51,"other",1,1433,0.000697836706210747,0.697836706210747
"child","or",51,"question",18,6560,0.00274390243902439,2.74390243902439
"child","or",52,"declarative",24,37450,0.000640854472630174,0.640854472630174
"child","or",52,"imperative",1,904,0.00110619469026549,1.10619469026549
"child","or",52,"other",2,1458,0.00137174211248285,1.37174211248285
"child","or",52,"question",8,7241,0.001104819776274,1.104819776274
"child","or",53,"declarative",23,24572,0.000936024743610614,0.936024743610614
"child","or",53,"imperative",1,836,0.00119617224880383,1.19617224880383
"child","or",53,"other",4,1229,0.0032546786004882,3.2546786004882
"child","or",53,"question",10,5019,0.00199242877067145,1.99242877067145
"child","or",54,"declarative",32,30409,0.0010523200368312,1.0523200368312
"child","or",54,"other",1,1832,0.000545851528384279,0.545851528384279
