"speech_act","speaker","target_child_age_months","utterance_count","total_utterance_count","utteranceType_relFreq","utteranceType_ppc"
"imperative","parent",63,108,3323,0.0325007523322299,3.25007523322299
"imperative","parent",64,155,4068,0.038102261553589,3.8102261553589
"imperative","parent",65,102,2622,0.0389016018306636,3.89016018306636
"imperative","parent",66,335,4960,0.0675403225806452,6.75403225806452
"imperative","parent",67,258,6157,0.0419035244437226,4.19035244437226
"imperative","parent",68,166,3418,0.0485664131070802,4.85664131070802
"imperative","parent",69,240,5292,0.0453514739229025,4.53514739229025
"imperative","parent",70,152,3307,0.0459631085576051,4.59631085576051
"imperative","parent",71,88,2405,0.0365904365904366,3.65904365904366
"other","child",12,2,2046,0.000977517106549365,0.0977517106549365
"other","child",13,57,3356,0.016984505363528,1.6984505363528
"other","child",14,252,16285,0.015474362910654,1.5474362910654
"other","child",15,442,6140,0.0719869706840391,7.19869706840391
"other","child",16,231,9142,0.0252679938744257,2.52679938744257
"other","child",17,551,11354,0.0485291527215078,4.85291527215078
"other","child",18,86,17697,0.00485958071989603,0.485958071989603
"other","child",19,413,23096,0.0178818843089713,1.78818843089713
"other","child",20,134,26403,0.00507518085066091,0.507518085066091
"other","child",21,509,28157,0.0180772099300352,1.80772099300352
"other","child",22,502,27504,0.0182518906340896,1.82518906340896
"other","child",23,391,43601,0.00896768422742598,0.896768422742598
"other","child",24,1362,103637,0.0131420245665158,1.31420245665158
"other","child",25,1090,75181,0.0144983439964885,1.44983439964885
"other","child",26,1018,71405,0.0142567047125551,1.42567047125551
"other","child",27,1134,76383,0.0148462354188759,1.48462354188759
"other","child",28,1446,80095,0.0180535613958424,1.80535613958424
"other","child",29,2362,87761,0.026914005081984,2.6914005081984
"other","child",30,2432,89888,0.0270558917764329,2.70558917764329
"other","child",31,2037,83028,0.024533892180951,2.4533892180951
"other","child",32,1624,75626,0.021474096210298,2.1474096210298
"other","child",33,1973,78185,0.0252350195050201,2.52350195050201
"other","child",34,2749,76215,0.0360690152857049,3.60690152857049
"other","child",35,1413,52360,0.0269862490450726,2.69862490450726
"other","child",36,4594,118276,0.0388413541208698,3.88413541208698
"other","child",37,1319,42571,0.0309835333912758,3.09835333912758
"other","child",38,1355,36910,0.0367109184502845,3.67109184502845
"other","child",39,829,26482,0.0313042821539159,3.13042821539159
"other","child",40,730,21432,0.0340612168719671,3.40612168719671
"other","child",41,1135,19204,0.0591022703603416,5.91022703603416
"other","child",42,986,19500,0.0505641025641026,5.05641025641026
"other","child",43,490,13924,0.0351910370583166,3.51910370583166
"other","child",44,516,16205,0.0318420240666461,3.18420240666461
"other","child",45,500,18016,0.027753108348135,2.7753108348135
"other","child",46,617,16309,0.0378318719725305,3.78318719725305
"other","child",47,343,12019,0.0285381479324403,2.85381479324403
"other","child",48,562,16877,0.0332997570658292,3.32997570658292
"other","child",49,365,11749,0.0310664737424462,3.10664737424462
"other","child",50,622,14762,0.0421352120308901,4.21352120308901
"other","child",51,332,10689,0.0310599681915988,3.10599681915988
"other","child",52,371,12507,0.0296633885024386,2.96633885024386
"other","child",53,332,9217,0.0360203970923294,3.60203970923294
"other","child",54,466,11796,0.0395049169209902,3.95049169209902
"other","child",55,391,10625,0.0368,3.68
"other","child",56,269,9222,0.0291693775753633,2.91693775753633
"other","child",57,5198,86666,0.0599773844414188,5.99773844414188
"other","child",58,427,11772,0.0362725110431532,3.62725110431532
"other","child",59,422,10543,0.0400265579057194,4.00265579057194
"other","child",60,293,7196,0.0407170650361312,4.07170650361312
"other","child",61,173,4646,0.0372363323288851,3.72363323288851
"other","child",62,226,5504,0.0410610465116279,4.10610465116279
"other","child",63,120,3589,0.0334354973530231,3.34354973530231
"other","child",64,102,2933,0.0347766791680873,3.47766791680873
"other","child",65,88,2303,0.0382110290924881,3.82110290924881
"other","child",66,180,3757,0.0479105669417088,4.79105669417088
"other","child",67,181,5247,0.0344959024204307,3.44959024204307
"other","child",68,128,3629,0.0352714246348856,3.52714246348856
"other","child",69,132,4885,0.027021494370522,2.7021494370522
"other","child",70,155,3162,0.0490196078431373,4.90196078431373
"other","child",71,96,2301,0.0417209908735332,4.17209908735332
"other","parent",12,181,7569,0.0239133306909764,2.39133306909764
"other","parent",13,243,8365,0.0290496114763897,2.90496114763897
"other","parent",14,768,27458,0.0279699905309928,2.79699905309928
"other","parent",15,953,10347,0.0921039914951194,9.21039914951194
"other","parent",16,837,15712,0.0532713849287169,5.32713849287169
"other","parent",17,1386,20748,0.0668016194331984,6.68016194331984
"other","parent",18,747,27005,0.0276615441584892,2.76615441584892
"other","parent",19,1304,35379,0.0368580231210605,3.68580231210605
"other","parent",20,1195,38811,0.0307902398804463,3.07902398804463
"other","parent",21,1611,33654,0.0478694954537351,4.78694954537351
"other","parent",22,1438,32586,0.0441293807156448,4.41293807156448
"other","parent",23,1457,56385,0.0258402057284739,2.58402057284739
"other","parent",24,4066,124150,0.0327507047925896,3.27507047925896
"other","parent",25,2598,100221,0.0259227108091119,2.59227108091119
"other","parent",26,1987,97122,0.0204588043903544,2.04588043903544
"other","parent",27,2048,91897,0.0222858199941239,2.22858199941239
"other","parent",28,2923,102981,0.028383876637438,2.8383876637438
"other","parent",29,3155,101893,0.030963854239251,3.0963854239251
"other","parent",30,3310,109851,0.0301317238805291,3.01317238805291
"other","parent",31,3302,102158,0.032322480862977,3.2322480862977
"other","parent",32,2602,89499,0.0290729505357602,2.90729505357602
"other","parent",33,3006,96714,0.0310813325888703,3.10813325888703
"other","parent",34,3072,93767,0.0327620591466081,3.27620591466081
"other","parent",35,1835,66941,0.0274121988019301,2.74121988019301
"other","parent",36,4150,124530,0.0333253031398057,3.33253031398057
"other","parent",37,1651,48969,0.0337152075803059,3.37152075803059
"other","parent",38,1414,39997,0.0353526514488587,3.53526514488587
"other","parent",39,876,27749,0.031568705178565,3.1568705178565
"other","parent",40,928,22245,0.0417172398291751,4.17172398291751
"other","parent",41,1250,16592,0.0753375120540019,7.53375120540019
"other","parent",42,1077,17708,0.0608199683758753,6.08199683758753
"other","parent",43,589,15586,0.0377903246503272,3.77903246503272
"other","parent",44,683,18013,0.0379170599011825,3.79170599011825
"other","parent",45,888,22399,0.0396446269922764,3.96446269922764
"other","parent",46,960,20004,0.0479904019196161,4.79904019196161
"other","parent",47,611,14537,0.0420306803329435,4.20306803329435
"other","parent",48,854,21013,0.0406415076381288,4.06415076381288
"other","parent",49,648,15261,0.0424611755455082,4.24611755455082
"other","parent",50,862,17673,0.0487749674644939,4.87749674644939
"other","parent",51,502,13888,0.0361463133640553,3.61463133640553
"other","parent",52,558,12474,0.0447330447330447,4.47330447330447
"other","parent",53,549,12028,0.0456434985034919,4.56434985034918
"other","parent",54,403,13093,0.0307798060032078,3.07798060032078
"other","parent",55,355,10637,0.0333740716367397,3.33740716367397
"other","parent",56,432,11073,0.0390138173936603,3.90138173936603
"other","parent",57,2987,61039,0.0489359262111109,4.89359262111109
"other","parent",58,465,11781,0.0394703335879806,3.94703335879806
"other","parent",59,464,12577,0.0368927407171822,3.68927407171822
"other","parent",60,227,5105,0.0444662095984329,4.44662095984329
"other","parent",61,109,3013,0.0361765682044474,3.61765682044474
"other","parent",62,139,3676,0.0378128400435256,3.78128400435256
"other","parent",63,60,3323,0.0180559735179055,1.80559735179055
"other","parent",64,102,4068,0.0250737463126844,2.50737463126844
"other","parent",65,67,2622,0.0255530129672006,2.55530129672006
"other","parent",66,163,4960,0.0328629032258064,3.28629032258065
"other","parent",67,169,6157,0.0274484326782524,2.74484326782524
"other","parent",68,75,3418,0.0219426565242832,2.19426565242832
"other","parent",69,150,5292,0.0283446712018141,2.83446712018141
"other","parent",70,96,3307,0.0290293317205927,2.90293317205927
"other","parent",71,119,2405,0.0494802494802495,4.94802494802495
"question","child",12,13,2046,0.00635386119257087,0.635386119257087
"question","child",13,51,3356,0.015196662693683,1.5196662693683
"question","child",14,87,16285,0.00534233957629721,0.534233957629721
"question","child",15,72,6140,0.0117263843648208,1.17263843648208
"question","child",16,519,9142,0.0567709472763072,5.67709472763072
"question","child",17,729,11354,0.0642064470671129,6.42064470671129
"question","child",18,1001,17697,0.0565632593094875,5.65632593094875
"question","child",19,937,23096,0.0405697956356079,4.05697956356079
"question","child",20,2054,26403,0.0777941900541605,7.77941900541605
"question","child",21,2469,28157,0.0876868984621941,8.76868984621941
"question","child",22,2945,27504,0.1070753344968,10.70753344968
"question","child",23,3732,43601,0.085594367101672,8.5594367101672
"question","child",24,10691,103637,0.103158138502658,10.3158138502658
"question","child",25,6279,75181,0.0835184421595882,8.35184421595882
"question","child",26,5496,71405,0.0769693999019676,7.69693999019677
"question","child",27,5963,76383,0.0780671091735072,7.80671091735072
"question","child",28,7314,80095,0.09131656158312,9.131656158312
"question","child",29,7990,87761,0.0910427182917241,9.10427182917241
"question","child",30,8872,89888,0.0987006051975792,9.87006051975792
"question","child",31,8783,83028,0.105783591077709,10.5783591077709
"question","child",32,8559,75626,0.113175362970407,11.3175362970407
"question","child",33,9106,78185,0.11646735307284,11.646735307284
"question","child",34,9086,76215,0.119215377550351,11.9215377550351
"question","child",35,6433,52360,0.122860962566845,12.2860962566845
"question","child",36,15537,118276,0.13136223747844,13.136223747844
"question","child",37,5033,42571,0.118226022409622,11.8226022409622
"question","child",38,4985,36910,0.135058249796803,13.5058249796803
"question","child",39,3650,26482,0.137829469073333,13.7829469073333
"question","child",40,3550,21432,0.165640164240388,16.5640164240388
"question","child",41,2624,19204,0.136638200374922,13.6638200374922
"question","child",42,2304,19500,0.118153846153846,11.8153846153846
"question","child",43,1898,13924,0.136311404768745,13.6311404768745
"question","child",44,2480,16205,0.153039185436594,15.3039185436594
"question","child",45,2467,18016,0.136933836589698,13.6933836589698
"question","child",46,2046,16309,0.125452204304372,12.5452204304372
"question","child",47,1658,12019,0.137948248606373,13.7948248606373
"question","child",48,2152,16877,0.127510813533211,12.7510813533211
"question","child",49,1566,11749,0.133287939399098,13.3287939399098
"question","child",50,1978,14762,0.133992683918168,13.3992683918168
"question","child",51,1409,10689,0.131817756572177,13.1817756572177
"question","child",52,1632,12507,0.1304869273207,13.04869273207
"question","child",53,1151,9217,0.12487794293154,12.487794293154
"question","child",54,1922,11796,0.162936588674127,16.2936588674127
"question","child",55,1537,10625,0.144658823529412,14.4658823529412
"question","child",56,1099,9222,0.119171546302321,11.9171546302321
"question","child",57,15476,86666,0.178570604389265,17.8570604389265
"question","child",58,1302,11772,0.110601427115189,11.0601427115189
"question","child",59,1533,10543,0.145404533813905,14.5404533813905
"question","child",60,1029,7196,0.142996108949416,14.2996108949416
"question","child",61,479,4646,0.10309944037882,10.309944037882
"question","child",62,822,5504,0.149345930232558,14.9345930232558
"question","child",63,416,3589,0.115909724157147,11.5909724157147
"question","child",64,326,2933,0.111148994203887,11.1148994203887
"question","child",65,294,2303,0.127659574468085,12.7659574468085
"question","child",66,449,3757,0.119510247537929,11.9510247537929
"question","child",67,593,5247,0.113016962073566,11.3016962073566
"question","child",68,345,3629,0.0950675117112152,9.50675117112152
"question","child",69,539,4885,0.110337768679632,11.0337768679632
"question","child",70,284,3162,0.0898165717900063,8.98165717900063
"question","child",71,211,2301,0.0916992611907866,9.16992611907866
"question","parent",12,2222,7569,0.293565860747787,29.3565860747787
"question","parent",13,2048,8365,0.244829647340108,24.4829647340108
"question","parent",14,6719,27458,0.244700997887683,24.4700997887683
"question","parent",15,2318,10347,0.224026287812893,22.4026287812893
"question","parent",16,4079,15712,0.259610488798371,25.9610488798371
"question","parent",17,5136,20748,0.247541931752458,24.7541931752458
"question","parent",18,7748,27005,0.286909831512683,28.6909831512683
"question","parent",19,9959,35379,0.281494671980553,28.1494671980553
"question","parent",20,11074,38811,0.285331478189173,28.5331478189173
"question","parent",21,10022,33654,0.29779521007904,29.779521007904
"question","parent",22,8912,32586,0.273491683545081,27.3491683545081
"question","parent",23,17455,56385,0.309568147556974,30.9568147556974
"question","parent",24,41575,124150,0.334877164720097,33.4877164720097
"question","parent",25,34239,100221,0.341634986679438,34.1634986679438
"question","parent",26,31757,97122,0.326980498754144,32.6980498754144
"question","parent",27,31787,91897,0.345898125074812,34.5898125074812
"question","parent",28,34813,102981,0.338052650488925,33.8052650488925
"question","parent",29,34169,101893,0.335341976386994,33.5341976386994
"question","parent",30,35565,109851,0.323756725018434,32.3756725018434
"question","parent",31,31647,102158,0.3097848430862,30.97848430862
"question","parent",32,27410,89499,0.306260405144192,30.6260405144192
"question","parent",33,30295,96714,0.313243170585437,31.3243170585437
"question","parent",34,30282,93767,0.322949438501818,32.2949438501818
"question","parent",35,20715,66941,0.309451606638682,30.9451606638682
"question","parent",36,39567,124530,0.317730667309082,31.7730667309082
"question","parent",37,15365,48969,0.313769936082011,31.3769936082011
"question","parent",38,12293,39997,0.307348051103833,30.7348051103833
"question","parent",39,8513,27749,0.306785830120004,30.6785830120004
"question","parent",40,6520,22245,0.293099572937739,29.3099572937739
"question","parent",41,4627,16592,0.278869334619094,27.8869334619094
"question","parent",42,5465,17708,0.308617573977863,30.8617573977863
"question","parent",43,4569,15586,0.293147696650841,29.3147696650841
"question","parent",44,5671,18013,0.314828179648032,31.4828179648032
"question","parent",45,7059,22399,0.315147997678468,31.5147997678468
"question","parent",46,5842,20004,0.292041591681664,29.2041591681664
"question","parent",47,4328,14537,0.297723051523698,29.7723051523698
"question","parent",48,5880,21013,0.27982677390187,27.982677390187
"question","parent",49,4375,15261,0.286678461437652,28.6678461437652
"question","parent",50,5074,17673,0.287104622871046,28.7104622871046
"question","parent",51,4064,13888,0.292626728110599,29.2626728110599
"question","parent",52,4070,12474,0.326278659611993,32.6278659611993
"question","parent",53,3802,12028,0.31609577652145,31.609577652145
"question","parent",54,3688,13093,0.28167723210876,28.167723210876
"question","parent",55,2950,10637,0.277333834727837,27.7333834727837
"question","parent",56,3248,11073,0.293326108552334,29.3326108552334
"question","parent",57,16762,61039,0.274611314077885,27.4611314077885
"question","parent",58,3258,11781,0.276546982429335,27.6546982429335
"question","parent",59,3648,12577,0.290053271845432,29.0053271845432
"question","parent",60,1539,5105,0.301469147894221,30.1469147894221
"question","parent",61,963,3013,0.319615001659476,31.9615001659476
"question","parent",62,1182,3676,0.321545157780196,32.1545157780196
"question","parent",63,1123,3323,0.337947637676798,33.7947637676798
"question","parent",64,1084,4068,0.266470009832842,26.6470009832842
"question","parent",65,756,2622,0.288329519450801,28.8329519450801
"question","parent",66,1442,4960,0.290725806451613,29.0725806451613
"question","parent",67,1702,6157,0.276433327919441,27.6433327919441
"question","parent",68,907,3418,0.265359859566998,26.5359859566998
"question","parent",69,1274,5292,0.240740740740741,24.0740740740741
"question","parent",70,887,3307,0.268218929543393,26.8218929543393
"question","parent",71,711,2405,0.295634095634096,29.5634095634096
